Surname,Pays,Sexe,Age,Score_Credit,Avoirs,Revenus_annuels,Carte_Platine,Nb_Contrats_Vie,Client_Patrimonial,Anciennete,Resiliation
Capon,Spain,Female,31.0,752.0,299275.72,90993.44,1.0,2.0,0.0,13.0,0
Lung,France,Female,34.0,664.0,197840.94,369827.96,,1.0,0.0,,0
Fleming,Spain,Female,35.0,827.0,10000.0,379028.02,0.0,2.0,1.0,1.0,0
Kay,France,Female,28.0,657.0,10000.0,20355.24,0.0,2.0,1.0,22.0,0
Fan,France,Male,23.0,570.0,10000.0,407661.96,0.0,1.0,0.0,7.0,0
Okwuadigbo,France,Female,40.0,850.0,,80068.3,1.0,2.0,0.0,16.0,0
Worsnop,France,Male,32.0,788.0,234159.16,188737.18,0.0,1.0,0.0,13.0,0
White,France,Male,43.0,713.0,182788.28,270002.26,1.0,1.0,1.0,16.0,0
Olsen,France,Male,37.0,580.0,,164217.32,0.0,2.0,1.0,28.0,0
Arnold,Spain,Male,41.0,826.0,302932.92,371869.34,0.0,2.0,0.0,16.0,0
Romero,Germany,Female,32.0,587.0,260890.08,271029.56,1.0,2.0,1.0,10.0,0
Pirogov,France,Male,41.0,725.0,237960.42,243408.5,1.0,1.0,1.0,22.0,0
Udegbunam,France,Male,45.0,593.0,287650.38,31657.56,0.0,1.0,0.0,13.0,0
Burgess,Germany,Male,24.0,790.0,224836.54,330900.42,0.0,1.0,1.0,22.0,0
Taylor,France,Male,28.0,647.0,10000.0,192110.54,1.0,2.0,1.0,25.0,0
Goddard,France,Male,32.0,,,19321.82,1.0,2.0,0.0,22.0,0
Mackay,France,Female,35.0,580.0,214194.66,346571.7,0.0,1.0,1.0,4.0,0
Tai,France,Female,,651.0,10000.0,263522.4,1.0,2.0,1.0,25.0,0
Romani,France,Male,28.0,494.0,239463.52,168959.48,0.0,2.0,1.0,28.0,0
Onyemaechi,Germany,Male,44.0,705.0,221869.92,174927.38,1.0,1.0,0.0,10.0,0
Collier,Spain,Female,30.0,676.0,10000.0,368133.16,0.0,2.0,0.0,16.0,0
Welch,Germany,Male,38.0,850.0,119802.02,290151.1,1.0,1.0,,10.0,0
Shubina,France,Female,31.0,507.0,223884.16,,0.0,1.0,1.0,1.0,0
Chang,Germany,Male,29.0,570.0,254057.3,357585.54,1.0,2.0,1.0,13.0,0
Wakelin,Spain,Female,29.0,692.0,10000.0,287760.48,0.0,2.0,0.0,13.0,0
Tyler,France,Female,30.0,770.0,10000.0,211114.06,1.0,2.0,0.0,,0
Tu,Spain,Male,38.0,639.0,270466.28,173722.2,1.0,1.0,1.0,28.0,0
Russell,Spain,,19.0,615.0,10000.0,329841.84,1.0,2.0,0.0,16.0,0
Ts'ui,Spain,Male,20.0,463.0,418446.06,266536.78,1.0,,0.0,25.0,0
Tsao,France,Male,,521.0,10000.0,11307.16,0.0,2.0,1.0,22.0,0
Loginov,France,Female,28.0,850.0,10000.0,381642.82,1.0,2.0,0.0,28.0,0
Cawthorne,Spain,Male,28.0,468.0,10000.0,351322.04,1.0,2.0,0.0,10.0,0
He,France,Female,34.0,,10000.0,64045.14,1.0,2.0,0.0,16.0,0
Ch'eng,Germany,Female,56.0,686.0,233284.16,171107.74,1.0,1.0,1.0,16.0,0
Booth,France,Male,44.0,613.0,10000.0,282983.44,0.0,2.0,1.0,10.0,0
Hill,Spain,Female,45.0,643.0,311680.06,321032.7,1.0,2.0,0.0,28.0,0
Norman,France,Male,52.0,625.0,339956.02,145576.98,1.0,1.0,1.0,16.0,0
Montalvo,France,Female,32.0,626.0,10000.0,384345.08,0.0,2.0,0.0,1.0,0
Sung,Spain,Male,46.0,610.0,193795.6,118788.56,1.0,1.0,0.0,16.0,0
Li,France,Female,33.0,758.0,10000.0,175992.94,0.0,2.0,0.0,22.0,0
Herrera,France,Male,65.0,515.0,,295096.66,1.0,1.0,1.0,22.0,0
Johnstone,France,Male,44.0,550.0,,62514.02,1.0,2.0,0.0,28.0,0
Jen,Germany,Female,46.0,663.0,293453.76,126514.46,1.0,1.0,1.0,7.0,0
Salas,Spain,Male,37.0,790.0,10000.0,308836.82,1.0,2.0,1.0,25.0,0
Hsing,Spain,Male,40.0,778.0,218582.82,245014.22,1.0,2.0,1.0,25.0,0
Manfrin,Spain,Male,33.0,663.0,10000.0,193029.24,0.0,2.0,0.0,28.0,0
Franklin,France,Female,46.0,593.0,207505.02,301120.76,1.0,1.0,,,0
Nwoye,France,Male,26.0,700.0,248019.14,293852.86,1.0,1.0,0.0,13.0,0
Urban,France,Female,57.0,698.0,232719.1,221430.02,1.0,2.0,0.0,28.0,0
Cartwright,France,Male,30.0,524.0,10000.0,263625.7,1.0,2.0,0.0,4.0,0
Evseev,Germany,Male,36.0,757.0,140699.41999999998,139079.28,0.0,1.0,0.0,4.0,0
Murphy,France,Female,33.0,591.0,237486.74,259250.16,1.0,1.0,0.0,13.0,0
Lettiere,Germany,Female,25.0,546.0,275675.4,273294.62,1.0,1.0,0.0,10.0,0
Pan,Spain,Male,54.0,700.0,168831.34,289471.08,0.0,1.0,1.0,4.0,0
Gordon,Germany,Female,35.0,646.0,253905.5,295679.64,1.0,2.0,1.0,4.0,0
Ballard,Germany,Female,25.0,604.0,325561.68,126853.62,1.0,2.0,1.0,16.0,0
Muir,France,Male,34.0,497.0,10000.0,176174.26,1.0,2.0,1.0,7.0,0
Greenwalt,France,Male,21.0,715.0,162934.32,357023.44,1.0,1.0,1.0,19.0,0
Shen,Spain,Female,37.0,847.0,235424.34,242194.52,1.0,1.0,0.0,28.0,0
Clamp,Spain,Male,51.0,611.0,255749.48,309296.9,1.0,1.0,1.0,4.0,0
Pisano,,Female,21.0,675.0,206746.52,46406.0,1.0,1.0,0.0,25.0,0
Pearson,France,Male,31.0,693.0,10000.0,374541.76,0.0,2.0,1.0,4.0,0
Chao,France,Male,34.0,542.0,212232.12,402790.1,1.0,1.0,0.0,25.0,0
Boni,France,Female,39.0,699.0,10000.0,197653.26,0.0,2.0,0.0,4.0,0
Douglas,Germany,Female,27.0,606.0,354620.66,232897.84,0.0,1.0,1.0,19.0,0
Ferri,Germany,Male,35.0,731.0,265725.86,288167.4,1.0,2.0,0.0,,0
Wertheim,Spain,Female,32.0,640.0,247758.7,48263.42,1.0,2.0,1.0,19.0,0
Vinogradova,France,Male,40.0,476.0,10000.0,55470.9,1.0,1.0,1.0,19.0,0
Ch'ien,France,Male,65.0,673.0,10000.0,181466.66,1.0,1.0,1.0,1.0,0
Knowles,Spain,Female,33.0,771.0,10000.0,27346.86,1.0,2.0,0.0,16.0,0
Carr,France,Male,28.0,692.0,133163.94,150359.82,1.0,1.0,1.0,16.0,0
Moore,Spain,Male,30.0,697.0,10000.0,11471.58,0.0,2.0,0.0,4.0,0
Toscano,Germany,Female,45.0,561.0,346170.76,241438.16,0.0,2.0,1.0,7.0,0
Crawford,Germany,Male,40.0,733.0,261450.04,111566.2,1.0,2.0,1.0,16.0,0
Astorga,France,Male,41.0,,10000.0,59849.84,1.0,2.0,1.0,13.0,0
Hayes,,Male,38.0,533.0,150725.04,218378.92,1.0,2.0,1.0,13.0,0
Bednall,Spain,Female,34.0,680.0,10000.0,207899.7,1.0,2.0,0.0,22.0,0
Ajuluchukwu,Germany,Male,41.0,704.0,134156.41999999998,268101.34,1.0,2.0,0.0,28.0,0
Quesada,Spain,Female,29.0,670.0,10000.0,64718.38,1.0,2.0,,28.0,0
Kornilova,Germany,Male,26.0,572.0,246574.02,130854.6,0.0,2.0,0.0,13.0,0
Jamieson,France,Male,33.0,845.0,338771.06,311329.94,1.0,1.0,0.0,25.0,0
Lawrence,Spain,Male,24.0,486.0,10000.0,207605.52,1.0,1.0,0.0,4.0,0
Lim,France,Male,25.0,705.0,205088.58,129774.3,0.0,1.0,1.0,1.0,0
Medvedeva,Spain,Male,35.0,658.0,153658.68,146283.84,1.0,1.0,1.0,28.0,0
Otutodilinna,France,Male,28.0,754.0,10000.0,115231.24,1.0,2.0,1.0,25.0,0
Ch'eng,France,Female,33.0,758.0,10000.0,,1.0,1.0,0.0,22.0,0
Ifeajuna,,Male,42.0,732.0,227496.16,140646.22,1.0,2.0,1.0,28.0,0
Palermo,France,Female,40.0,723.0,295713.9,86039.48,0.0,2.0,,22.0,0
Yermakov,France,Female,35.0,578.0,10000.0,,0.0,2.0,1.0,7.0,0
Liu,France,Male,33.0,707.0,10000.0,271733.9,0.0,2.0,0.0,7.0,0
Igwebuike,Germany,Male,36.0,,229898.1,153365.08,0.0,2.0,1.0,7.0,0
Wan,Spain,Male,24.0,650.0,227763.46,218985.66,1.0,1.0,0.0,25.0,0
Stephenson,Spain,Male,36.0,634.0,181992.38,41775.36,1.0,1.0,0.0,7.0,0
Ifesinachi,Germany,Female,59.0,666.0,315229.02,387564.6,1.0,,1.0,25.0,0
T'ang,France,Female,62.0,605.0,232131.86,261321.98,0.0,2.0,1.0,13.0,0
Ho,Spain,Male,42.0,,207591.22,,1.0,2.0,0.0,7.0,0
Wayn,,Female,25.0,,227329.7,390023.7,1.0,2.0,0.0,22.0,0
Ts'ai,France,Female,30.0,680.0,292883.5,42557.94,1.0,1.0,1.0,25.0,0
Obiuto,France,Male,37.0,798.0,10000.0,231566.56,0.0,3.0,0.0,25.0,0
Wang,Spain,Male,26.0,730.0,10000.0,381617.4,1.0,2.0,1.0,19.0,0
Ferguson,France,Male,29.0,676.0,291441.86,82442.36,1.0,1.0,0.0,13.0,0
Moss,France,Male,30.0,495.0,269511.98,355499.3,0.0,1.0,0.0,31.0,0
Patterson,Spain,Female,58.0,,10000.0,141417.0,,2.0,1.0,25.0,0
McCall,Spain,Male,44.0,627.0,10000.0,238939.1,1.0,1.0,1.0,19.0,0
Scott,Spain,Male,75.0,657.0,262547.9,193347.2,0.0,1.0,1.0,22.0,0
Terry,Germany,Male,29.0,,257474.08,293116.08,1.0,2.0,0.0,19.0,0
Preston,France,Male,34.0,580.0,10000.0,330190.62,1.0,2.0,1.0,19.0,0
Martin,Germany,Male,61.0,607.0,339047.0,81573.52,1.0,2.0,1.0,7.0,0
Korovina,France,Female,38.0,726.0,10000.0,23574.96,0.0,2.0,0.0,13.0,0
Aksenov,France,Male,24.0,712.0,10000.0,252465.02,0.0,1.0,1.0,7.0,0
Mackey,France,Male,33.0,520.0,322595.16,342205.22,1.0,2.0,1.0,13.0,0
Larsen,France,Female,43.0,788.0,10000.0,242223.02,1.0,2.0,1.0,31.0,0
Kable,France,Male,45.0,597.0,10000.0,345512.9,0.0,2.0,0.0,22.0,0
Thompson,France,Male,25.0,617.0,215171.76,240774.8,1.0,2.0,1.0,4.0,0
Chimaobim,France,Female,29.0,640.0,10000.0,15487.38,1.0,2.0,0.0,10.0,0
Onyemachukwu,France,Male,43.0,551.0,10000.0,366787.36,1.0,2.0,0.0,22.0,0
Siciliano,Spain,Male,34.0,684.0,211256.0,390527.56,1.0,2.0,1.0,28.0,0
Norris,Spain,Female,22.0,583.0,10000.0,21970.72,0.0,2.0,1.0,7.0,0
Smith,France,Male,51.0,665.0,10000.0,116706.72,0.0,1.0,0.0,7.0,0
Brabyn,France,Male,38.0,844.0,233003.32,248666.76,1.0,1.0,1.0,22.0,0
Palfreyman,France,Male,34.0,630.0,10000.0,238012.7,1.0,2.0,1.0,28.0,0
McKenzie,Spain,Male,32.0,695.0,10000.0,87067.58,0.0,3.0,1.0,28.0,0
Hoelscher,France,Male,23.0,667.0,10000.0,193146.38,1.0,2.0,0.0,4.0,0
Esposito,France,Male,43.0,751.0,239948.48,261841.08,1.0,1.0,0.0,4.0,0
Kelly,France,Female,48.0,814.0,10000.0,275740.3,1.0,2.0,1.0,22.0,0
Findlay,Spain,Female,35.0,608.0,10000.0,296926.56,1.0,2.0,1.0,19.0,0
Rozier,Spain,Female,45.0,850.0,254622.42,48965.0,1.0,1.0,,7.0,0
Stevenson,Germany,Female,23.0,520.0,,85155.32,1.0,2.0,1.0,10.0,0
Reynolds,Spain,Female,33.0,597.0,10000.0,19401.32,1.0,2.0,1.0,7.0,0
Buccho,France,Male,42.0,,279873.94,280357.82,0.0,2.0,0.0,,0
Shih,Spain,Female,35.0,679.0,,252420.18,0.0,1.0,0.0,25.0,0
Marian,Spain,Male,57.0,721.0,10000.0,401881.92,1.0,1.0,1.0,4.0,0
Trentini,Germany,Male,42.0,612.0,293854.2,96037.96,1.0,1.0,1.0,16.0,0
Yen,France,Male,40.0,558.0,10000.0,357689.78,1.0,2.0,0.0,19.0,0
Greco,France,Female,,850.0,212533.02,77003.96,,1.0,0.0,19.0,0
Bennett,France,Male,33.0,710.0,246654.34,395857.64,1.0,,1.0,31.0,0
Stewart,France,Male,37.0,756.0,275247.2,127948.0,1.0,1.0,1.0,10.0,0
Shao,France,Female,37.0,846.0,264207.94,93032.88,1.0,1.0,1.0,19.0,0
Bianchi,Germany,Male,40.0,672.0,188051.76,387784.38,1.0,2.0,0.0,13.0,0
Tuan,France,Female,41.0,850.0,10000.0,79654.86,1.0,2.0,1.0,16.0,0
Tao,France,Male,28.0,,10000.0,60791.66,0.0,2.0,0.0,7.0,0
Izuchukwu,France,Male,24.0,809.0,229116.72,377030.26,1.0,,0.0,22.0,0
Aksyonova,Spain,,37.0,767.0,10000.0,59468.5,,2.0,1.0,22.0,0
Ikemefuna,France,Male,29.0,412.0,,35021.06,0.0,2.0,0.0,16.0,0
Cook,France,Male,29.0,751.0,329194.9,89868.82,1.0,1.0,0.0,10.0,0
Ch'ien,France,Male,42.0,807.0,246549.42,61771.44,1.0,1.0,1.0,22.0,0
Scott,Germany,Female,49.0,549.0,259658.32,197102.72,0.0,1.0,1.0,19.0,0
Chukwubuikem,France,Male,27.0,558.0,314566.78,376542.3,1.0,1.0,0.0,4.0,0
Chidozie,France,Female,,613.0,345591.2,,0.0,1.0,1.0,25.0,0
P'an,Spain,Female,38.0,593.0,187472.88,144040.06,1.0,2.0,0.0,13.0,0
Stone,France,Male,41.0,739.0,10000.0,297764.5,0.0,2.0,,,0
Beatham,Spain,Male,,711.0,10000.0,305440.54,1.0,2.0,1.0,16.0,0
Stewart,Germany,Female,35.0,,273009.46,389120.86,1.0,1.0,0.0,22.0,0
Somadina,Spain,Male,40.0,567.0,247257.6,193947.26,0.0,1.0,0.0,13.0,0
Gregory,Germany,Female,41.0,673.0,207224.2,312698.7,1.0,1.0,0.0,28.0,0
Christie,France,Male,37.0,786.0,341792.44,143955.36,1.0,2.0,1.0,22.0,0
Hsueh,Spain,Male,58.0,489.0,10000.0,392838.64,1.0,2.0,1.0,13.0,0
Ritchie,France,Male,45.0,808.0,247253.1,304264.92,1.0,2.0,0.0,22.0,0
Rizzo,France,Male,37.0,797.0,160527.4,,1.0,1.0,0.0,13.0,0
Ting,France,Female,27.0,528.0,362454.14,288963.06,0.0,2.0,1.0,22.0,0
Chang,Germany,Male,29.0,570.0,254057.3,357585.54,1.0,2.0,1.0,13.0,0
Lombardo,France,Female,40.0,689.0,10000.0,248893.28,1.0,2.0,1.0,4.0,0
Kennedy,Germany,Male,30.0,657.0,289524.26,56635.76,1.0,2.0,1.0,4.0,0
Maclean,Spain,Male,26.0,576.0,10000.0,78202.12,0.0,2.0,1.0,25.0,0
McMillan,France,Female,36.0,687.0,204315.92,136370.1,0.0,1.0,1.0,13.0,0
Gorbunov,France,Female,29.0,613.0,381418.56,164484.38,1.0,2.0,1.0,19.0,0
Gray,France,Male,30.0,755.0,256435.32,298366.2,0.0,2.0,1.0,13.0,0
Marsh,,Female,34.0,832.0,286380.26,303022.4,0.0,2.0,1.0,,0
Ginikanwa,Germany,Male,31.0,565.0,189116.78,18883.08,1.0,2.0,1.0,7.0,0
McKenzie,France,Female,31.0,591.0,10000.0,107556.92,0.0,2.0,1.0,22.0,0
Vincent,France,Male,38.0,670.0,188833.98,298550.78,0.0,1.0,0.0,31.0,0
Chiazagomekpere,France,Female,36.0,488.0,10000.0,283350.44,1.0,2.0,0.0,1.0,0
Lattimore,France,Male,26.0,648.0,335847.7,206736.48,1.0,1.0,,28.0,0
Nwachukwu,Germany,,38.0,565.0,327302.58,368890.56,1.0,2.0,1.0,7.0,0
Neumayer,Germany,Female,44.0,667.0,,124328.38,0.0,2.0,1.0,16.0,0
Chin,France,Female,42.0,612.0,160995.02,309365.56,0.0,1.0,0.0,31.0,0
Gomes,France,Female,38.0,697.0,374131.7,,,1.0,0.0,4.0,0
Toscano,,Male,48.0,646.0,348046.66,361315.1,1.0,2.0,1.0,25.0,0
Greece,Germany,Male,28.0,489.0,168921.96,,1.0,2.0,1.0,4.0,0
McKinley,France,Female,60.0,678.0,10000.0,97643.12,1.0,2.0,1.0,7.0,0
Yip,France,Female,35.0,502.0,10000.0,171236.94,1.0,2.0,1.0,,0
Andrejew,Spain,Male,33.0,606.0,10000.0,136353.53999999998,1.0,2.0,1.0,25.0,0
Elewechi,France,Female,30.0,687.0,10000.0,368413.84,0.0,2.0,0.0,19.0,0
Slone,Germany,Female,44.0,678.0,206018.26,72769.72,0.0,2.0,1.0,7.0,0
Conti,France,Male,37.0,549.0,,104864.86,0.0,2.0,0.0,7.0,0
Gorbunov,France,Female,29.0,613.0,381418.56,164484.38,1.0,2.0,1.0,19.0,0
Henderson,Spain,Female,24.0,549.0,10000.0,38812.82,1.0,2.0,1.0,28.0,0
Wade,France,Female,35.0,850.0,10000.0,60658.96,0.0,2.0,0.0,28.0,0
Ibrahimov,Spain,Male,38.0,721.0,10000.0,117069.6,0.0,1.0,1.0,22.0,0
Lorimer,Spain,Female,30.0,690.0,10000.0,167400.06,0.0,2.0,1.0,16.0,0
Longo,Germany,Female,37.0,588.0,150517.76,289215.22,1.0,2.0,0.0,22.0,0
Chukwualuka,Spain,,36.0,726.0,,400384.8,1.0,1.0,0.0,7.0,0
Benson,Germany,Female,56.0,586.0,211563.5,118896.82,1.0,2.0,1.0,28.0,0
Stanley,France,Male,41.0,721.0,10000.0,346439.5,,2.0,0.0,7.0,0
Jackson,France,Female,35.0,627.0,,396044.88,,2.0,1.0,22.0,0
Plant,Spain,Female,32.0,765.0,366191.1,104495.12,0.0,1.0,0.0,28.0,0
T'ien,France,Male,40.0,,301073.8,280668.48,,1.0,1.0,22.0,0
Sochima,France,Female,32.0,709.0,10000.0,408836.04,1.0,2.0,1.0,22.0,0
Dilke,Germany,Male,26.0,650.0,438693.92,267630.66000000003,1.0,2.0,0.0,13.0,0
Hall,France,Male,,637.0,315213.64,153385.6,1.0,1.0,1.0,7.0,0
Ho,Spain,Male,32.0,625.0,223914.56,279588.04,1.0,1.0,1.0,22.0,0
Watson,Spain,Male,62.0,850.0,10000.0,370487.12,1.0,2.0,1.0,16.0,0
Toomey,France,Male,,683.0,142380.66,240373.94,1.0,1.0,1.0,13.0,0
Cheng,Spain,Male,34.0,,10000.0,328622.92,1.0,2.0,0.0,16.0,0
Kang,France,Male,26.0,545.0,10000.0,323196.46,0.0,2.0,1.0,22.0,0
Loggia,France,Male,66.0,748.0,10000.0,336663.3,1.0,1.0,1.0,25.0,0
Nash,France,Female,29.0,559.0,169430.72,174504.56,1.0,1.0,0.0,10.0,0
Beneventi,France,Male,47.0,590.0,245758.64,26428.92,1.0,,1.0,1.0,0
Trevisan,France,Female,43.0,516.0,235547.46,288733.16,1.0,2.0,1.0,7.0,0
Walker,France,Female,28.0,792.0,270285.58,86381.56,1.0,1.0,0.0,13.0,0
Sanford,Germany,Female,25.0,480.0,358660.7,373294.26,0.0,2.0,0.0,10.0,0
Knox,Germany,Male,27.0,,199334.58,,0.0,2.0,1.0,28.0,0
T'ang,France,Male,42.0,636.0,10000.0,120941.56,1.0,2.0,1.0,7.0,0
Fedorova,Germany,Female,62.0,555.0,239645.28,26889.0,0.0,1.0,1.0,31.0,0
Espinosa,France,Female,32.0,806.0,137526.97999999998,323186.18,1.0,1.0,0.0,10.0,0
Plascencia,Spain,Male,34.0,,252302.1,248715.86,0.0,1.0,0.0,4.0,0
Phelps,France,Female,34.0,594.0,293051.1,28886.3,0.0,1.0,0.0,22.0,0
Folliero,Germany,Female,33.0,749.0,163384.44,70792.86,0.0,1.0,1.0,31.0,0
Solomon,Germany,Female,29.0,778.0,256458.92,372442.18,,1.0,,22.0,0
Chien,Spain,Male,32.0,562.0,333257.32,192965.0,1.0,1.0,0.0,19.0,0
Allan,Spain,Male,,514.0,10000.0,38468.62,1.0,2.0,1.0,28.0,0
Hazon,Spain,Male,41.0,793.0,10000.0,314307.48,,2.0,0.0,28.0,0
Brookes,Spain,Female,50.0,675.0,,,0.0,1.0,1.0,4.0,0
Cawthorne,Spain,Male,28.0,468.0,10000.0,351322.04,1.0,2.0,0.0,10.0,0
Goddard,France,Male,32.0,,,19321.82,1.0,2.0,0.0,22.0,0
Soto,France,Male,38.0,694.0,10000.0,323716.4,0.0,2.0,1.0,4.0,0
Donaldson,France,Female,27.0,583.0,260813.16,231568.84,1.0,1.0,1.0,4.0,0
Gordon,France,Male,35.0,514.0,252061.8,30017.36,1.0,1.0,0.0,10.0,0
Fiorentini,France,Male,34.0,687.0,269790.38,67396.34,0.0,1.0,1.0,22.0,0
Komar,Spain,Female,29.0,581.0,10000.0,103470.38,1.0,2.0,0.0,25.0,0
Russo,Germany,Female,33.0,785.0,283249.2,348235.48,1.0,2.0,1.0,16.0,0
Carpenter,Spain,Female,40.0,540.0,10000.0,17120.0,1.0,2.0,0.0,25.0,0
Fomin,Germany,Female,,767.0,299506.42,274961.5,1.0,1.0,1.0,,0
Trevisano,Germany,Female,32.0,595.0,,19442.6,1.0,1.0,0.0,1.0,0
Hsiung,France,Female,38.0,639.0,10000.0,197432.76,0.0,2.0,0.0,16.0,0
Sutherland,Germany,Male,28.0,613.0,163312.8,380966.48,1.0,2.0,1.0,22.0,0
Sagese,France,Female,30.0,679.0,235086.84,368870.42,1.0,1.0,1.0,4.0,0
Kolesnikov,France,Female,34.0,697.0,263117.84,156668.86,1.0,1.0,0.0,7.0,0
Ch'eng,Germany,Male,41.0,619.0,305948.32,351037.66,1.0,2.0,0.0,10.0,0
Newman,France,Female,21.0,747.0,,345365.14,1.0,2.0,0.0,13.0,0
Hsiung,France,Female,31.0,488.0,205177.2,258421.06,0.0,1.0,0.0,25.0,0
Walkom,Spain,Male,33.0,605.0,310185.6,153725.58,0.0,1.0,0.0,16.0,0
North,France,Female,73.0,683.0,285464.46,276420.88,1.0,2.0,1.0,25.0,0
Lucchesi,France,Male,32.0,850.0,322003.36,313354.62,1.0,2.0,1.0,13.0,0
Onochie,France,Male,28.0,589.0,10000.0,313291.92,1.0,2.0,0.0,22.0,0
Lung,Germany,Female,43.0,597.0,248254.92,121619.84,1.0,2.0,0.0,22.0,0
Mai,France,Female,32.0,624.0,168737.74,,1.0,2.0,1.0,7.0,0
Hale,Germany,,27.0,652.0,343055.76,302015.4,0.0,2.0,1.0,7.0,0
Greece,,Male,35.0,,329387.8,152347.28,1.0,2.0,1.0,31.0,0
Ozuluonye,Germany,Female,35.0,704.0,318412.14,90522.98,1.0,2.0,1.0,10.0,0
Lockington,Germany,Male,,704.0,228053.6,96234.2,1.0,2.0,1.0,13.0,0
Basedow,Spain,Female,42.0,,10000.0,156302.5,0.0,2.0,1.0,31.0,0
Lappin,France,Male,70.0,799.0,150833.5,82967.04,1.0,1.0,1.0,25.0,0
Wilson,France,Female,38.0,622.0,207281.48,230915.98,1.0,1.0,1.0,,0
Pruneda,Spain,Male,36.0,649.0,10000.0,333336.3,1.0,2.0,0.0,25.0,0
Mosman,France,Male,46.0,669.0,10000.0,,0.0,2.0,1.0,10.0,0
Obialo,France,Male,33.0,630.0,10000.0,139609.18,1.0,2.0,0.0,28.0,0
Moore,Germany,Male,31.0,757.0,264640.72,336340.64,1.0,3.0,0.0,4.0,0
Chou,,Female,34.0,833.0,299503.62,342945.62,0.0,1.0,0.0,10.0,0
Chiemenam,Spain,Male,43.0,542.0,,189086.5,1.0,1.0,0.0,19.0,0
Hopman,France,Female,28.0,844.0,10000.0,256636.74,0.0,2.0,1.0,13.0,0
Dickson,France,Female,35.0,,219567.62,367025.04,,2.0,1.0,4.0,0
Stewart,France,Female,28.0,821.0,10000.0,83508.26,1.0,1.0,1.0,25.0,0
Shahan,France,Female,44.0,700.0,127563.52,43749.84,1.0,1.0,0.0,7.0,0
Madukaego,France,Male,36.0,652.0,10000.0,312629.96,1.0,2.0,1.0,4.0,0
Onwudiwe,Spain,Male,59.0,797.0,268642.88,,1.0,1.0,1.0,13.0,0
Collier,France,Male,33.0,683.0,10000.0,157128.88,0.0,1.0,,,0
Fang,Spain,Female,39.0,695.0,10000.0,215527.38,0.0,2.0,0.0,16.0,0
Stanton,France,Female,29.0,689.0,165113.58,255996.52,1.0,2.0,1.0,4.0,0
Carter,France,Male,35.0,763.0,10000.0,,1.0,1.0,1.0,28.0,0
Piccio,France,Female,42.0,695.0,10000.0,291449.28,0.0,2.0,1.0,1.0,0
Romani,France,Male,37.0,728.0,10000.0,154407.6,1.0,2.0,1.0,1.0,0
Osonduagwuike,France,Female,42.0,758.0,10000.0,162419.12,0.0,2.0,1.0,22.0,0
Monds,France,Male,37.0,521.0,221686.52,179816.4,1.0,2.0,,16.0,0
Lucchesi,France,Female,66.0,771.0,297546.14,271655.76,1.0,1.0,1.0,22.0,0
Jen,France,Female,31.0,561.0,172960.54,140469.2,1.0,2.0,1.0,4.0,0
Seleznyova,Spain,Female,46.0,617.0,223042.98,183174.74,0.0,1.0,1.0,10.0,0
Aldridge,Spain,Male,44.0,573.0,10000.0,224248.34,1.0,2.0,0.0,28.0,0
Ch'ang,France,Male,29.0,654.0,193911.22,84131.32,1.0,1.0,0.0,7.0,0
Simmons,Spain,Male,29.0,640.0,404400.08,292907.24,1.0,2.0,0.0,16.0,0
Harper,France,Male,28.0,584.0,10000.0,49668.64,1.0,,0.0,31.0,0
Collins,Germany,,30.0,729.0,137338.84,300222.74,1.0,1.0,0.0,19.0,0
Castillo,Germany,Male,22.0,749.0,199524.32,94483.08,1.0,2.0,1.0,13.0,0
K'ung,Spain,Female,62.0,612.0,344053.22,395784.1,1.0,2.0,1.0,1.0,0
Chukwukere,Spain,Male,45.0,714.0,311800.58,289778.3,0.0,,1.0,25.0,0
Nnachetam,Spain,Male,34.0,588.0,10000.0,168157.82,1.0,2.0,0.0,31.0,0
Brennan,France,Male,29.0,654.0,10000.0,370690.88,1.0,1.0,0.0,4.0,0
Bearce,France,Male,31.0,528.0,214033.44,170362.24,0.0,2.0,0.0,19.0,0
Wan,France,Female,66.0,640.0,242075.52,379272.1,0.0,1.0,1.0,,0
Patel,Germany,Female,,777.0,203387.32,355237.04,1.0,1.0,1.0,16.0,0
K'ung,France,Male,40.0,575.0,10000.0,254977.18,1.0,2.0,1.0,16.0,0
Martin,Spain,Male,36.0,622.0,10000.0,219705.2,,2.0,1.0,28.0,0
Wright,Spain,Male,42.0,641.0,275315.1,80734.38,1.0,1.0,0.0,28.0,0
Scott,Spain,Female,32.0,472.0,328795.5,124646.36,0.0,1.0,,4.0,0
Korovina,France,Female,38.0,726.0,10000.0,23574.96,0.0,2.0,0.0,13.0,0
Tang,France,Male,47.0,497.0,10000.0,190110.16,1.0,1.0,1.0,19.0,0
Chen,France,Male,41.0,765.0,258364.42,210306.86,0.0,1.0,0.0,13.0,0
Temple,Spain,Male,28.0,701.0,216842.64,162609.46,0.0,1.0,1.0,4.0,0
Genovese,France,Female,42.0,673.0,10000.0,252881.6,1.0,2.0,0.0,13.0,0
Hendley,Spain,Male,37.0,747.0,10000.0,371103.52,0.0,2.0,1.0,4.0,0
Cyril,France,Female,40.0,800.0,161786.22,275124.46,1.0,2.0,0.0,10.0,0
Hs?eh,Germany,Male,,682.0,254058.3,111567.76,1.0,,1.0,19.0,0
